univerzita karlova v praze,charles university in prague
masarykova univerzita,masaryk university
ceske vysoke uceni technicke v praze,czech technical university in prague
vysoke uceni technicke v brne,brno university technology
univerzita palackeho v olomuci,palacky university olomouc
zapadoceska univerzita v plzni,university west bohemia
vysoka skola ekonomicka v praze,university economics prague
ceska zemedelska univerzita v praze,czech university life sciences in prague
jihoceska univerzita v ceskych budejovicich,university south bohemia in ceske budejovice
vysoka skola banska technicka univerzita ostrava,vsb technical university ostrava
ostravska univerzita v ostrave,university ostrava
mendelova univerzita v brne,mendel university in brno
univerzita tomase bati ve zlini,tomas bata university in zlin
univerzita pardubice,university pardubice
slezska univerzita v opave,silesian university in opava
technicka univerzita v liberci,technical university liberec
univerzita j e purkyne v usti nad labem,the university j e purkyne in usti nad labem
univerzita hradec kralove,university hradec kralove
akademie muzickych umini v praze,academy performing arts in prague
veterinarni a farmaceuticka univerzita brno,university veterinary and pharmaceutical sciences brno
vysoka skola chemicko technologicka v praze,institute chemical technology prague
akademie vytvarnych umeni v praze,academy fine arts in prague
vysoka skola financni a spravni,university finance and administration
vysoka skola polytechnicka jihlava,college polytechnics jihlava
bankovni institut vysoka skola,college banking
janackova akademie muzickych umeni v brne,janacek academy music and performing arts in brno
vysoka skola ekonomie a managementu,university economics and management
vysoka skola podnikani a prava,college business and law
anglo americka vysoka skola o p s,anglo american university
metropolitni univerzita praha,metropolitan university prague
skoda auto vysoka skola,skoda auto university
academia rerum civilium,arc institute political and social sciences
vysoka skola technicka a ekonomicka v ceskych budejovicich,institute technology and economics in ceske budejovice
univerzity jana amose komenskeho,jan amos komensky university prague
vysoka skola hotelova v praze,institute hospitality management in prague
mezinarodni baptisticky teologicky seminar,international baptist theological seminary
moravska vysoka skola olomouc,moravian university college olomouc
vysoka skola evropskych a regionalnich studii o p s,college european and regional studies
filmova akademie miroslava ondricka v pisku,film academy miroslav ondricek in pisek
soukroma vysoka skola ekonomicka znojmo,private college economic studies znojmo
vysoka skola obchodni v praze,college business studies in prague
vysoka skola logistiky o p s,college logistics
literarni akademie josefa skvoreckeho,josef skvorecky literary academy
soukroma vysoka skola ekonomickych studii,private college economic studies
vysoka skola socialne spravni,college social and administrative affairs
vysoka skola karlovy vary,college karlovy vary
vysoka skola umeleckoprumyslova v praze,academy arts architecture and design in prague
evropsky polytechnicky institut,european polytechnic institute
vysoka skola telesne vychovy a sportu palestra,college physical education and sport palestra
vysoka skola obchodni a hotelova brno,college business and hotel management
vysoka skola mezinarodnich a verejnych vztahu praha,college international and public relations prague
prazska vysoka skola psychosocialnich studii,prague college psychosocial studies
vysoka skola karla englise,karel englis college
zapadomoravska vysoka skola trebic,west moravian college trebic
vysoka skola regionalniho rozvoje,college regional development
vysoka skola zdravotnicka,college nursing
vysoka skola aplikovaneho prava,college applied law
vysoka skola aplikovane psychologie,college applied psychology
cevro institut,cevro institute
akademie sting,sting academy
