kobenhavns universitet,university copenhagen
aarhus universitet,aarhus university
danmarks tekniske universitet,technical university denmark
aalborg universitet,aalborg university
syddansk universitet,university southern denmark
handelshojskolen i kobenhavn,copenhagen business school
roskilde universitet,roskilde university
it universitetet i kobenhavn,it university copenhagen
danmarks medie og journalisthojskole,danish school media and journalism
det kongelige danske kunstakademis skoler for arkitektur design og konservering,the royal danish academy fine arts schools architecture design and conservation
informationsvidenskabelige akademi,the royal school library and information science
det kongelige danske musikkonservatorium,the royal danish academy music
det kongelige danske kunstakademi billedkunstskolerne,the royal danish academy fine arts school visual arts
arkitektskolen aarhus,aarhus school architecture
det jyske musikkonservatorium,the royal academy music
syddansk musikkonservatorium,danish national academy music
den danske scenekunstskole,the danish national school performing arts
