eotvos lorand tudomanyegyetem,eotvos lorand university
budapesti muszaki es gazdasagtudomanyi egyetem,budapest university technology and economics
szegedi tudomanyegyetem,university szeged
debreceni egyetem,university debrecen
kozep europai egyetem,central european university
pecsi tudomanyegyetem,university pecs
miskolci egyetem,university miskolc
budapesti corvinus egyetem,corvinus university budapest
szent istvan egyetem,szent istvan university
nyugat magyarorszagi egyetem,university west hungary
obudai egyetem,obuda university
eszterhazy karoly foiskola,eszterhazy karoly college
pannon egyetem,university pannonia
pazmany peter katolikus egyetem,pazmany peter catholic university
szechenyi istvan egyetem,szechenyi istvan university
nyiregyhazi foiskola,college nyiregyhaza
budapesti gazdasagi foiskola,budapest business school
magyar kepzomuveszeti egyetem,hungarian university fine arts
kodolanyi janos foiskola,kodolanyi janos university college
kecskemeti foiskola,kecskemet college
gabor denes foiskola,dennis gabor college
andrassy gyula budapesti nemet nyelvu egyetem,andrassy gyula german language university budapest
karoli gaspar reformatus egyetem,karol gaspar university the reformed church
szolnoki foiskola,college szolnok
liszt ferenc zenemuveszeti egyetem,liszt ferenc academy music
nemzeti kozszolgalati egyetem,national public service university
semmelweis egyetem,semmelweis university
moholy nagy muveszeti egyetem,moholy nagy university art and design
magyar tancmuveszeti foiskola,hungarian dance academy
dunaujvarosi egyetem,university dunaujvaros
budapesti metropolitan foiskola,budapest metropolitan university applied sciences
eotvos jozsef foiskola,eotvos jozsef college
kaposvari egyetem,university kaposvar
zsigmond kiraly foiskola,king sigismund business school
edutus foiskola,edutus college
karoly robert foiskola,karoly robert university college
debreceni reformatus hittudomanyi egyetem,debrecen university reformed theology
szinhaz es filmmuveszeti egyetem,academy drama and film
tomori pal foiskola,tomori pal college
wesley janos lelkeszkepzo foiskola,the john wesley theological college
wekerle sandor uzleti foiskola,wekerle business school
esztergomi hittudomanyi foiskola,esztergom theological college
adventista teologiai foiskola,adventist theological college
