uniwersytet warszawski,university warsaw
uniwersytet jagiellonski,jagiellonian university
akademia gorniczo hutnicza,agh university science and technology
uniwersytet im adama mickiewicza,adam mickiewicz university
politechnika warszawska,warsaw university technology
uniwersytet mikolaja kopernika w toruniu,nicolaus copernicus university
uniwersytet kazimierza wielkiego w bydgoszczy,kazimierz wielki university bydgoszcz
uniwersytet slaski w katowicach,university silesia katowice
politechnika slaska w gliwicach,silesian university technology
politechnika krakowska im tadeusza kosciuszki,cracow university technology
uniwersytet gdanski,university gdansk
uniwersytet warminsko mazurski w olsztynie,university warmia and mazury in olsztyn
uniwersytet marii curie sklodowskiej w lublinie,marie curie sklodowska university
szkola glowna gospodarstwa wiejskiego w warszawie,warsaw university life sciences
uniwersytet lodzki,university lodz
politechnika rzeszowska im ignacego lukasiewicza,rzeszow university technology
katolicki uniwersytet lubelski jana pawla ii,the john paul ii catholic university lublin
uniwersytet w bialymstoku,university bialystok
politechnika bialostocka,bialystok university technology
politechnika lubelska,lublin university technology
zachodniopomorski uniwersytet technologiczny w szczecinie,west pomeranian university technology szczecin
uniwersytet humanistyczno przyrodniczy jana kochanowskiego w kielcach,university humanities and sciences kielce
uniwersytet wroclawski,university wroclaw
wyzsza szkola informatyki w lodzi,the college computer science lodz
uniwersytet kardynala stefana wyszynskiego w warszawie,cardinal stefan wyszynski university warsaw
wyzsza szkola bankowa w poznaniu,poznan school banking
akademia pomorska w slupsku,pomeranian university slupsk
polsko japonska akademia technik komputerowych,polish japanese institute information technology
wojskowa akademia techniczna,military university technology
politechnika wroclawska,wroclaw university technology
uniwersytet technologiczno przyrodniczy w bydgoszczy,university technology and life sciences bydgoszcz
uniwersytet ekonomiczny w krakowie,cracow university economics
akademia leona kozminskiego,leon kozminski academy
uniwersytet ekonomiczny w poznaniu,poznan university economics
politechnika gdanska,gdansk university technology
politechnika lodzka,lodz university technology
szkola wyzsza psychologii spolecznej,university social sciences and humanities
warszawski uniwersytet medyczny,medical university warsaw
uniwersytet szczecinski,university szczecin
uniwersytet technologiczno humanistyczny im kazimierza pulaskiego w radomiu,university technology and humanities radom
uniwersytet zielonogorski,university zielona gora
uniwersytet rzeszowski,university rzeszow
uniwersytet ekonomiczny w katowicach,university economics katowice
szkola glowna handlowa w warszawie,warsaw school economics
politechnika koszalinska,koszalin university technology
slaski uniwersytet medyczny w katowicach,medical university silesia katowice
akademia techniczno humanistyczna,academy technology and humanities
uniwersytet opolski,university opole
uczelnia lazarskiego,lazarski school commerce and law warsaw
uniwersytet przyrodniczy w poznaniu,poznan university life sciences
akademia wychowania fizycznego jozefa pilsudskiego w warszawie,university physical education warsaw
gdanski uniwersytet medyczny,medical university gdansk
uniwersytet przyrodniczo humanistyczny w siedlcach,university natural sciences and humanities siedlce
uniwersytet medyczny w lodzi,medical university lodz
pomorski uniwersytet medyczny w szczecinie,pomeranian medical university szczecin
akademia finansow i biznesu vistula,academy finance and business vistula
zachodniopomorska szkola biznesu w szczecinie,the west pomeranian business school szczecin
uniwersytet artystyczny w poznaniu,university fine arts poznan
uniwersytet medyczny im karola marcinkowskiego w poznaniu,poznan university medical sciences
uniwersytet medyczny w lublinie,medical university lublin
politechnika czestochowska,czestochowa university technology
politechnika poznanska,poznan university technology
gornoslaska wyzsza szkola handlowa im wojciecha korfantego w katowicach,school economics katowice
uniwersytet medyczny w bialymstoku,medical university bialystok
wyzsza szkola zarzadzania i bankowosci w krakowie,the school banking and management cracow
uniwersytet ekonomiczny we wroclawiu,wroclaw university economics
wyzsza szkola lingwistyczna w czestochowie,college foreign languages czestochowa
wyzsza szkola ekonomii i informatyki w krakowie,school computer science and economics krakow
akademia morska w szczecinie,maritime university szczecin
akademia humanistyczna im aleksandra gieysztora,aleksandra gieysztora academy humanities
akademia sztuk pieknych w warszawie,academy fine arts warsaw
akademia wychowania fizycznego im jerzego kukuczki w katowicach,academy physical education katowice
akademia muzyczna im fryderyka chopina w warszawie,academy music warsaw
uczelnia techniczno handlowa im heleny chodkowskiej,helena chodkowska university technology and economics
szkola glowna sluzby pozarniczej,main school fire service
wyzsza szkola zarzadzania w gdansku,gdansk management college gdansk
wyzsza szkola informatyki stosowanej i zarzadzania,school applied technology and management
akademia morska w gdyni,maritime university gdynia
wyzsza szkola zarzadzania i administracji w zamosciu,college management and public administration zamosc
uniwersytet przyrodniczy we wroclawiu,wroclaw university environmental and life sciences
akademia pedagogiki specjalnej im marii grzegorzewskiej w warszawie,maria grzegorzewska academy special education
wyzsza szkola handlu i finansow miedzynarodowych im fryderyka skarbka,graduate school international trade and finance
bielska wyzsza szkola im j tyszkiewicza,jozef tyszkiewicz college business and computer science
politechnika opolska,opole university technology
akademia sztuk pieknych im jana matejki w krakowie,jan matejko academy fine art krakow
chrzescijanska akademia teologiczna w warszawie,christian theological academy
wyzsza szkola finansow i zarzadzania w bialymstoku,university finance and management bialystok
akademia wychowania fizycznego im eugeniusza piaseckiego w poznaniu,academy physical education poznan
uniwersytet medyczny im piastow slaskich,wroclaw medical university
akademia im jana dlugosza w czestochowie,jan dlugosz university czestochowa
akademia muzyczna im ignacego jana paderewskiego w poznaniu,academy music poznan
akademia muzyczna w gdansku,academy music gdansk
wyzsza szkola pedagogiczna im janusza korczaka w warszawie,pedagogical university warsaw
akademia wychowania fizycznego im bronislawa czecha w krakowie,university school physical education cracow
politechnika swietokrzyska w kielcach,kielce university technology
dolnoslaska wyzsza szkola przedsiebiorczosci i techniki w polkowicach,lower silesian college entrepreneurship and technology polkowice
panstwowa wyzsza szkola filmowa telewizyjna i teatralna,the polish national film television and theatre school
uniwersytet rolniczy w krakowie im hugona kollataja,university agriculture krakow
miedzynarodowa wyzsza szkola logistyki i transportu we wroclawiu,intertational school logistic and transport wroclaw
olsztynska wyzsza szkola informatyki i zarzadzania,academy computer science and management
uniwersytet pedagogiczny im komisji edukacji narodowej w krakowie,pedagogical university cracow
akademia polonijna w czestochowie,polonia university czestochowa
akademia muzyczna w krakowie,academy music krakow
panstwowa wyzsza szkola teatralna im ludwika solskiego w krakowie,the ludwik solski state drama school cracow
panstwowa wyzsza szkola informatyki i przedsiebiorczosci w lomzy,lomza state university applied sciences
akademia muzyczna im feliksa nowowiejskiego w bydgoszczy,academy music bydgoszcz
uniwersytet przyrodniczy w lublinie,university life sciences lublin
szkola wyzsza im pawla wlodkowica w plocku,pawel wlodkowic university college plock
wyzsza szkola ekonomii i prawa,school economics and law kielce
wyzsza szkola ekonomii turystyki i nauk spolecznych,college economics tourism and social sciences
uczelnia warszawska im marii sklodowskiej curie,the maria sklodowskiej curie warsaw academy
panstwowa wyzsza szkola zawodowa w chelmie,the state school higher education chelm
akademia wychowania fizycznego we wroclawiu,university school physical education wroclaw
akademia sztuk pieknych im wladyslawa strzeminskiego w lodzi,academy fine arts and design lodz
europejska akademia sztuk,european academy arts warsaw
wyzsza szkola spoleczno ekonomiczna w gdansku,social economic higher school gdansk
panstwowa wyzsza szkola zawodowa im stanislawa staszica w pile,stanislaw staszic university applied sciences pila
panstwowa wyzsza szkola zawodowa w ciechanowie,the state school higher education ciechanow
akademia humanistyczno ekonomiczna w lodzi,academy humanities and economics lodz
