slovenska technicka univerzita v bratislave,slovak university technology in bratislava
univerzita komenskeho v bratislave,comenius university in bratislava
technicka univerzita v kosiciach,technical university kosice
univerzita pavla jozefa safarika v kosiciach,pavol josef safarik university
univerzita konstantina filozofa v nitre,constantine the philosopher university
univerzita mateja bela v banskej bystrici,matej bel university in banska bystrica
ekonomicka univerzita v bratislave,university economics in bratislava
slovenska polnohospodarska univerzita v nitre,slovak university agriculture in nitra
zilinska univerzita,university zilina
trnavska univerzita v trnave,university trnava
univerzita sv cyrila a metoda v trnave,university st cyril and methodius in trnava
univerzita veterinarskeho lekarstva v kosiciach,university veterinary medicine in kosice
trencianska univerzita alexandra dubceka v trencine,alexander dubcek university trencin
presovska univerzita v presove,university presov
technicka univerzita vo zvolene,technical university in zvolen
slovenska zdravotnicka univerzita v bratislave,slovak medical university
katolicka univerzita v ruzomberku,catholic university in ruzomberok
vysoka skola vytvarnych umeni v bratislave,academy fine arts and design in bratislava
akademia umeni v banskej bystrici,academy arts in banska bystrica
vysoka skola muzickych umeni v bratislave,academy performing arts in bratislava
stredoeuropska vysoka skola v skalici,university central europe in skalica
vysoka skola medzinarodneho podnikania ism slovakia v presove,international business college ism slovakia in presov
vysoka skola danubius,danubius college
vysoka skola ekonomie a manazmentu verejnej spravy v bratislave,college public administration economics and management
vysoka skola zdravotnictva a socialnej prace sv alzbety v bratislave,st elizabeth college health and social work
akademia policajneho zboru v bratislave,police academy in bratislava
univerzita j selyeho,j selye university
bratislavska medzinarodna skola liberalnych studii,bratislava international school liberal arts
paneuropska vysoka skola,pan european university
vysoka skola bezpecnostneho manazerstva v kosiciach,security management college in kosice
dubnicky technologicky institut v dubnici nad vahom,dubnica technology institute in dubnica nad vahom
