Sentence,Label
Compound is closely related to Cancer,1
Compound is closely related to mutations,1
Compound is closely related to developmental toxicity,1
Compound is closely related to reproductive toxicity,1
Compound is closely related to organ toxicity,1
Compound is closely related to neurotoxicity,1
Compound is closely related to ecotoxicology,1
Compound is closely related to allergies,1
Compound is closely related to usage restrictions,1
Compound is closely related to irritation,1
Compound is closely related to carcinogenicity,1
Compound is closely related to allergy,1
Compound is closely related to harm,1
Compound is closely related to inflammation,1
Compound is closely related to decease,1
Compound is closely linked to Cancer,1
Compound is closely linked to mutations,1
Compound is closely linked to developmental toxicity,1
Compound is closely linked to reproductive toxicity,1
Compound is closely linked to organ toxicity,1
Compound is closely linked to neurotoxicity,1
Compound is closely linked to ecotoxicology,1
Compound is closely linked to allergies,1
Compound is closely linked to usage restrictions,1
Compound is closely linked to irritation,1
Compound is closely linked to carcinogenicity,1
Compound is closely linked to allergy,1
Compound is closely linked to harm,1
Compound is closely linked to inflammation,1
Compound is closely linked to decease,1
Compound is related to Cancer,1
Compound is related to mutations,1
Compound is related to developmental toxicity,1
Compound is related to reproductive toxicity,1
Compound is related to organ toxicity,1
Compound is related to neurotoxicity,1
Compound is related to ecotoxicology,1
Compound is related to allergies,1
Compound is related to usage restrictions,1
Compound is related to irritation,1
Compound is related to carcinogenicity,1
Compound is related to allergy,1
Compound is related to harm,1
Compound is related to inflammation,1
Compound is related to decease,1
Compound is linked to Cancer,1
Compound is linked to mutations,1
Compound is linked to developmental toxicity,1
Compound is linked to reproductive toxicity,1
Compound is linked to organ toxicity,1
Compound is linked to neurotoxicity,1
Compound is linked to ecotoxicology,1
Compound is linked to allergies,1
Compound is linked to usage restrictions,1
Compound is linked to irritation,1
Compound is linked to carcinogenicity,1
Compound is linked to allergy,1
Compound is linked to harm,1
Compound is linked to inflammation,1
Compound is linked to decease,1
Compound displays causal link with Cancer,1
Compound displays causal link with mutations,1
Compound displays causal link with developmental toxicity,1
Compound displays causal link with reproductive toxicity,1
Compound displays causal link with organ toxicity,1
Compound displays causal link with neurotoxicity,1
Compound displays causal link with ecotoxicology,1
Compound displays causal link with allergies,1
Compound displays causal link with usage restrictions,1
Compound displays causal link with irritation,1
Compound displays causal link with carcinogenicity,1
Compound displays causal link with allergy,1
Compound displays causal link with harm,1
Compound displays causal link with inflammation,1
Compound displays causal link with decease,1
Compound displays causal relation with Cancer,1
Compound displays causal relation with mutations,1
Compound displays causal relation with developmental toxicity,1
Compound displays causal relation with reproductive toxicity,1
Compound displays causal relation with organ toxicity,1
Compound displays causal relation with neurotoxicity,1
Compound displays causal relation with ecotoxicology,1
Compound displays causal relation with allergies,1
Compound displays causal relation with usage restrictions,1
Compound displays causal relation with irritation,1
Compound displays causal relation with carcinogenicity,1
Compound displays causal relation with allergy,1
Compound displays causal relation with harm,1
Compound displays causal relation with inflammation,1
Compound displays causal relation with decease,1
Compound displays close relation with Cancer,1
Compound displays close relation with mutations,1
Compound displays close relation with developmental toxicity,1
Compound displays close relation with reproductive toxicity,1
Compound displays close relation with organ toxicity,1
Compound displays close relation with neurotoxicity,1
Compound displays close relation with ecotoxicology,1
Compound displays close relation with allergies,1
Compound displays close relation with usage restrictions,1
Compound displays close relation with irritation,1
Compound displays close relation with carcinogenicity,1
Compound displays close relation with allergy,1
Compound displays close relation with harm,1
Compound displays close relation with inflammation,1
Compound displays close relation with decease,1
Compound has causal link with Cancer,1
Compound has causal link with mutations,1
Compound has causal link with developmental toxicity,1
Compound has causal link with reproductive toxicity,1
Compound has causal link with organ toxicity,1
Compound has causal link with neurotoxicity,1
Compound has causal link with ecotoxicology,1
Compound has causal link with allergies,1
Compound has causal link with usage restrictions,1
Compound has causal link with irritation,1
Compound has causal link with carcinogenicity,1
Compound has causal link with allergy,1
Compound has causal link with harm,1
